REF_DATE,GEO,DGUID,Categories,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991-01,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,85.28,NA,NA,NA,2
1991-01,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,385838,NA,NA,NA,0
1991-01,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,96456,NA,NA,NA,0
1991-01,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30035,NA,NA,NA,0
1991-01,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,259347,NA,NA,NA,0
1991-01,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,5579,NA,NA,NA,0
1991-01,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,538,NA,NA,NA,0
1991-01,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,-469,NA,NA,NA,0
1991-01,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,5510,NA,NA,NA,0
1991-04,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,95.06,NA,NA,NA,2
1991-04,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,87.53,NA,NA,NA,2
1991-04,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,391672,NA,NA,NA,0
1991-04,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,97520,NA,NA,NA,0
1991-04,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,31007,NA,NA,NA,0
1991-04,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,263145,NA,NA,NA,0
1991-04,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,6199,NA,NA,NA,0
1991-04,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,1213,NA,NA,NA,0
1991-04,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,1167,NA,NA,NA,0
1991-04,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,3819,NA,NA,NA,0
1991-07,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,94.87,NA,NA,NA,2
1991-07,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,87.61,NA,NA,NA,2
1991-07,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,398638,NA,NA,NA,0
1991-07,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,98064,NA,NA,NA,0
1991-07,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30502,NA,NA,NA,0
1991-07,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,270072,NA,NA,NA,0
1991-07,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,7341,NA,NA,NA,0
1991-07,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,696,NA,NA,NA,0
